id;type;sub_type;energy;carpooling;factor;unit
1;Voiture;Citadine;Essence;Non;0.21;kg/CO2
2;Voiture;Citadine;Essence;Oui;0.20;kg/CO2
3;Voiture;Citadine;Diesel;Non;0.24;kg/CO2
5;Voiture;Citadine;Diesel;Oui;0.22;kg/CO2
6;Voiture;Citadine;Hybride;Non;0.18;kg/CO2
7;Voiture;Citadine;Hybride;Oui;0.16;kg/CO2
8;Voiture;Citadine;Electrique;Non;0.12;kg/CO2
9;Voiture;Citadine;Electrique;Oui;0.10;kg/CO2
10;Voiture;SUV;Essence;Non;0.28;kg/CO2
11;Voiture;SUV;Essence;Oui;0.26;kg/CO2
12;Voiture;SUV;Diesel;Non;0.31;kg/CO2
13;Voiture;SUV;Diesel;Oui;0.29;kg/CO2
14;Voiture;SUV;Hybride;Non;0.25;kg/CO2
15;Voiture;SUV;Hybride;Oui;0.23;kg/CO2
16;Voiture;SUV;Electrique;Non;0.19;kg/CO2
17;Voiture;SUV;Electrique;Oui;0.17;kg/CO2
18;Bus;;;;0.104;kg/CO2
19;Métro;;;;0.041;kg/CO2
20;Vélo;Standard;;;0.01;kg/CO2
21;Vélo;ElecAssist;;;0.02;kg/CO2
22;Moto;ScooterThermique;;;0.12;kg/CO2
23;Moto;ScooterElectrique;;;0.08;kg/CO2
24;Moto;Plus250cm3;;;0.10;kg/CO2
25;Moto;Moins250cm3;;;0.15;kg/CO2